"";"Produkte_App";"Produkte_Zusammenfassung";"Produktgruppe";"Verpackungseinheit";"Lieferant";"Ort";"EntfernungZwischenhaendler";"Herkunftsgenauigkeit";"Lieferantentyp";"EntfernungKK";"Gesamtentfernung";"n";"turnover2015";"turnover2016";"turnover2017";"avg.turnover"
"1";"Allesreiniger";"Allesreiniger";"Putzequipment";"10";"Sonett";NA;0;NA;"Produzent";115,894966853525;115,894966853525;1;NA;20;NA;20
"2";"Apfelessig";"Apfelessig";"Öl und Essig";"5";"OBEG";"Deutschland";205,22785085992;2;"Zwischenhaendler";212,62569395508;417,853544815;2;NA;20;10;15
"3";"Arborio Reis";"Rundkornreis";"Grundnahrungsmittel";"25";"OBEG";"Italien";855,694055034801;2;"Zwischenhaendler";212,62569395508;1068,31974898988;6;4,16666666666667;4,6185;13,9746666666667;9,29658333333333
"4";"Back-/Bratöl, EU";"Bratöl";"Öl und Essig";"10";"OBEG";"Rumänien";1187,95593171882;3;"Zwischenhaendler";212,62569395508;1400,5816256739;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"5";"Basilikum";"Basilikum";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;1;NA;1;0,103;0,5515
"6";"Basitom";"Basitom";"Aufstriche";"6";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;1;NA;4;NA;4
"7";"Basmati Braun";"Langkornreis Natur";"Grundnahrungsmittel";"25";"OBEG";"Italien";855,694055034801;2;"Zwischenhaendler";212,62569395508;1068,31974898988;10;2,5;9,887;9,0202;9,4536
"8";"Basmati Weiß";"Basmati Weiß";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;6,25;11,982;25;18,491
"9";"Beluglinsen";"Linsen Beluga";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;2;12,66;12,371;NA;12,371
"10";"Blaumohn";"Blaumohn";"Ölsaaten und Nüsse";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;1;NA;4,628;NA;4,628
"11";"Bockshornklee Ganz";"Bockshornklee Ganz";"Gewürze";"1";"Sahana-Eliya e.V";"Nepal";6738,12305384406;2;"Zwischenhaendler";6,25755619582711;6744,38061003989;4;NA;0,25;0,25;0,25
"12";"Bohnen";"Bohnen schwarz";"Hülsenfrüchte";"25";"Wolfgang Hees";NA;0;1;"Erzeuger";11,9371259981786;11,9371259981786;1;NA;20,274;NA;20,274
"13";"Bohnen Borlotti";"Bohnen Borlotti";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;2;5;13,814;NA;13,814
"14";"Borlottibohnen";"Bohnen Borlotti";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;2;5;13,814;NA;13,814
"15";"Braune Linsen";"Linsen Braun";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;3;8,33333333333333;12,8043333333333;NA;12,8043333333333
"16";"brauner Basmati";"Langkornreis Natur";"Grundnahrungsmittel";"25";"OBEG";"Italien";855,694055034801;2;"Zwischenhaendler";212,62569395508;1068,31974898988;10;2,5;9,887;9,0202;9,4536
"17";"Braunhirse";"Hirse Braun";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;3;8,386;8,484;NA;8,484
"18";"Buchweizen";"Buchweizen";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;2;12,5;23,74;27,527;25,6335
"19";"Buchweizenmehl";"Buchweizenmehl";"Grundnahrungsmittel";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;1;NA;5;NA;5
"20";"Cashews";"Cashews";"Ölsaaten und Nüsse";"25";"Cashew4You";"Enugu, Nigeria";4570,92944992498;2;"Zwischenhaendler";105,291962397502;4676,22141232248;2;NA;11,034;22,705;16,8695
"21";"Chilli Gemahlen";"Chilli Gemahlen";"Gewürze";"1";"Sahana-Eliya e.V";"Nepal";6738,12305384406;2;"Zwischenhaendler";6,25755619582711;6744,38061003989;4;NA;0,23925;0,35625;0,29775
"22";"Couscous";"Couscous";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;1;25;57,608;25;41,304
"23";"Currychini";"Currychini";"Aufstriche";"6";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;1;NA;6;NA;6
"24";"Dinkel";"Dinkel";"Grundnahrungsmittel";"25";"Luzernenhof";NA;0;1;"Erzeuger";24,8237399290683;24,8237399290683;1;50;149,366;59,902;104,634
"25";"Dinkel Drink";"Drink Dinkel";"Drinks, Säfte, Kaffee";"10";"Hofgut Storzeln";NA;0;1;"Erzeuger";69,84997949108;69,84997949108;2;65;49,5;100;74,75
"26";"Drink Buchweizen";"Drink Buchweizen";"Drinks, Säfte, Kaffee";"10";"Hofgut Storzeln";NA;0;1;"Erzeuger";69,84997949108;69,84997949108;1;NA;29;100;64,5
"27";"Drink Dinkel";"Drink Dinkel";"Drinks, Säfte, Kaffee";"10";"Hofgut Storzeln";NA;0;1;"Erzeuger";69,84997949108;69,84997949108;2;65;49,5;100;74,75
"28";"Drink Hafer";"Drink Hafer";"Drinks, Säfte, Kaffee";"10";"Hofgut Storzeln";NA;0;1;"Erzeuger";69,84997949108;69,84997949108;2;65;49;160;104,5
"29";"Drink Soja";"Drink Soja";"Drinks, Säfte, Kaffee";"10";"Hofgut Storzeln";NA;0;1;"Erzeuger";69,84997949108;69,84997949108;2;50;50;73;61,5
"30";"Erdnussmus";"Erdnussmus";"Aufstriche";"10";"Rapunzel";"China";7432,77877553574;3;"Zwischenhaendler";170,424986104297;7603,20376164004;4;NA;2,33;3,6415;2,98575
"31";"Gemüsebrühe";"Gemüsebrühe";"Sonstiges";"10";"Naturata";"Schweiz";246,45691488885;2;"Zwischenhaendler";142,914375788986;389,371290677836;1;NA;14;7,516;10,758
"32";"Getrocknete Äpfel";"Getrocknetes Gemüse";"Sonstiges";"10";"Sonnenobst";NA;0;1;"Erzeuger";12,1097163235784;12,1097163235784;3;0,96;15,3406666666667;0,229333333333333;7,785
"33";"Getrocknete Paprika";"Getrocknetes Gemüse";"Sonstiges";"10";"Sonnenobst";NA;0;1;"Erzeuger";12,1097163235784;12,1097163235784;3;0,96;15,3406666666667;0,229333333333333;7,785
"34";"Getrocknetes Gemüse";"Getrocknetes Gemüse";"Sonstiges";"10";"Sonnenobst";NA;0;1;"Erzeuger";12,1097163235784;12,1097163235784;3;0,96;15,3406666666667;0,229333333333333;7,785
"35";"Goldhirse";"Hirse Gold";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;8;3,54125;9,2375;2,92125;6,079375
"36";"Goldhirse Neu";"Hirse Gold";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;8;3,54125;9,2375;2,92125;6,079375
"37";"Grünkern";"Grünkern";"Grundnahrungsmittel";"25";"OBEG";"Nord Baden-Württemberg";88,0573811302204;2;"Zwischenhaendler";212,62569395508;300,6830750853;2;NA;14,308;21,377;17,8425
"38";"Hafer";"Hafer";"Grundnahrungsmittel";"25";"Luzernenhof";NA;0;1;"Erzeuger";24,8237399290683;24,8237399290683;1;50;51,736;3,89;27,813
"39";"Hafer Drink";"Drink Hafer";"Drinks, Säfte, Kaffee";"10";"Hofgut Storzeln";NA;0;1;"Erzeuger";69,84997949108;69,84997949108;2;65;49;160;104,5
"40";"Haferflocken";"Haferflocken";"Grundnahrungsmittel";"25";"OBEG";"Nord Baden-Württemberg";88,0573811302204;2;"Zwischenhaendler";212,62569395508;300,6830750853;1;25,57;150,154;151,788;150,971
"41";"Haselnüsse geschält";"Haselnüsse";"Ölsaaten und Nüsse";"25";"Hofgut Unterbach";NA;0;1;"Erzeuger";99,4243907072954;99,4243907072954;2;NA;10;10;10
"42";"Hirse Braun";"Hirse Braun";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;1;"Erzeuger";306,955484551127;306,955484551127;3;8,386;8,484;NA;8,484
"43";"Honig";"Honig";"Sonstiges";"10";"Erik";NA;0;1;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
"44";"Ingwer Gemahlen";"Ingwer Gemahlen";"Gewürze";"1";"Sahana-Eliya e.V";"Nepal";6738,12305384406;2;"Zwischenhaendler";6,25755619582711;6744,38061003989;2;NA;1,033;NA;1,033
"45";"Kaffee Espresso";"Kaffee Espresso";"Drinks, Säfte, Kaffee";"5";"Elephant Beans";"Honduras";9067,26543847171;2;"Zwischenhaendler";4,27564270544115;9071,54108117715;4;NA;7,428;4,812;6,12
"46";"Kaffee Espresso";"Kaffee Espresso";"Drinks, Säfte, Kaffee";"5";"Elephant Beans";"Indien";6941,63377165179;2;"Zwischenhaendler";4,27564270544115;6945,90941435723;4;NA;7,428;4,812;6,12
"47";"Kaffee Geröstet";"Kaffee Zumba";"Drinks, Säfte, Kaffee";"5";"Elephant Beans";"Ecuador";9863,63627285079;2;"Zwischenhaendler";4,27564270544115;9867,91191555623;4;NA;3,6325;2,6;3,11625
